nom_entreprise,secteur,taille,ville_siege,site_web,type
TechMaroc SARL,Éducation,ETI,Oujda,https://www.techmarocsarl.ma,Autre
DataWave Maroc,Éducation,ETI,Tétouan,https://www.datawavemaroc.ma,Conseil
CloudFirst MA,Éducation,PME,Tétouan,https://www.cloudfirstma.ma,Produit
Digital Solutions Casablanca,Finance / Banque,PME,Meknès,https://www.digitalsolutionscasablanca.ma,Conseil
Capgemini Maroc,Finance / Banque,PME,Tétouan,https://www.capgeminimaroc.ma,SSII
Atos Maroc,Finance / Banque,PME,Kénitra,https://www.atosmaroc.ma,Conseil
CGI Maroc,Services,Grande Entreprise,Kénitra,https://www.cgimaroc.ma,Autre
Sopra Steria Maroc,Services,ETI,Agadir,https://www.soprasteriamaroc.ma,Autre
OCP Group,Conseil,ETI,Meknès,https://www.ocpgroup.ma,Produit
Maroc Telecom,Finance / Banque,Startup,Marrakech,https://www.maroctelecom.ma,Telecom
Inwi,Éducation,PME,Fès,https://www.inwi.ma,Produit
Orange Maroc,E-commerce,Grande Entreprise,Marrakech,https://www.orangemaroc.ma,Conseil
Bank of Africa,Conseil,Startup,Fès,https://www.bankofafrica.ma,Produit
Attijariwafa Bank,E-commerce,Grande Entreprise,Agadir,https://www.attijariwafabank.ma,Autre
BMCE Bank,Conseil,PME,Marrakech,https://www.bmcebank.ma,Telecom
CIH Bank,E-commerce,Grande Entreprise,Tétouan,https://www.cihbank.ma,Conseil
Jumia Maroc,Industrie,Grande Entreprise,Tétouan,https://www.jumiamaroc.ma,Autre
Avito,Informatique / Télécom,PME,Oujda,https://www.avito.ma,Autre
HPS,Informatique / Télécom,Grande Entreprise,Fès,https://www.hps.ma,Conseil
S2M,Informatique / Télécom,PME,Casablanca,https://www.s2m.ma,Telecom
Sqli Maroc,E-commerce,ETI,Casablanca,https://www.sqlimaroc.ma,Produit
Logware,Éducation,Startup,Kénitra,https://www.logware.ma,Conseil
Omnidata,Informatique / Télécom,Startup,Oujda,https://www.omnidata.ma,Conseil
NTT Data Maroc,Conseil,Startup,Marrakech,https://www.nttdatamaroc.ma,Produit
Deloitte Maroc,Services,Startup,Casablanca,https://www.deloittemaroc.ma,Conseil
KPMG Maroc,Finance / Banque,Grande Entreprise,Fès,https://www.kpmgmaroc.ma,Autre
EY Maroc,Services,Startup,Tétouan,https://www.eymaroc.ma,Autre
PwC Maroc,E-commerce,ETI,Meknès,https://www.pwcmaroc.ma,Autre
Majorel Maroc,Services,Grande Entreprise,Tétouan,https://www.majorelmaroc.ma,Banque
Webhelp Maroc,Éducation,PME,Marrakech,https://www.webhelpmaroc.ma,Conseil
Intelcia,Éducation,ETI,Oujda,https://www.intelcia.ma,Conseil
Altran Maroc,Conseil,Startup,Kénitra,https://www.altranmaroc.ma,SSII
ThalesGroup Maroc,Services,Grande Entreprise,Marrakech,https://www.thalesgroupmaroc.ma,Conseil
Bull Maroc,Finance / Banque,PME,Rabat,https://www.bullmaroc.ma,Produit
Umanis Maroc,Conseil,ETI,Agadir,https://www.umanismaroc.ma,Telecom
Sofrecom Maroc,E-commerce,ETI,Casablanca,https://www.sofrecommaroc.ma,Banque
IB Maroc,Services,Grande Entreprise,Tétouan,https://www.ibmaroc.ma,Produit
M2M Group,Finance / Banque,Startup,Fès,https://www.m2mgroup.ma,SSII
Involys,Conseil,Grande Entreprise,Meknès,https://www.involys.ma,Banque
Disway,Industrie,Grande Entreprise,Kénitra,https://www.disway.ma,Autre
Tanger Med,Informatique / Télécom,ETI,Agadir,https://www.tangermed.ma,Produit
Renault Maroc,Conseil,PME,Casablanca,https://www.renaultmaroc.ma,Conseil
PSA Maroc,Éducation,Startup,Kénitra,https://www.psamaroc.ma,Produit
Yazaki Maroc,E-commerce,ETI,Rabat,https://www.yazakimaroc.ma,Telecom
LaFactory,Éducation,ETI,Tétouan,https://www.lafactory.ma,Produit
WeCode Maroc,Services,Startup,Tanger,https://www.wecodemaroc.ma,Telecom
StartupFactory MA,Conseil,Grande Entreprise,Meknès,https://www.startupfactoryma.ma,Telecom
MoroccoAI,Conseil,ETI,Oujda,https://www.moroccoai.ma,Autre
Nexus IT,Éducation,Startup,Casablanca,https://www.nexusit.ma,SSII
AlphaData Maroc,Finance / Banque,PME,Tanger,https://www.alphadatamaroc.ma,Autre
